gray,time_s,power_raw,reference_power_interpolated,power_corrected,peak,saturated,background
98,88.11252889999923,6520322.0,6511901.597280243,1.0012930789254053,189,0,0.0
97,88.64306119999856,6529954.0,6510287.686331813,1.00302080562576,189,0,0.0
96,89.16791449999982,6524327.0,6508691.051240617,1.002402318474834,186,0,0.0
95,90.22193619999962,6517194.0,6505783.078029709,1.0017539659459023,183,0,0.0
94,90.74872959999993,6500461.0,6504476.965487314,0.999382584409381,184,0,0.0
93,91.26940829999876,6482552.0,6503186.013511406,0.9968270916027104,187,0,0.0
92,91.79014579999966,6463067.0,6501894.915748894,0.9940282154276524,180,0,0.0
91,92.31079849999878,6437406.0,6500604.028236446,0.9902781298534821,185,0,0.0
90,92.82689789999858,6399355.0,6499324.430011675,0.9846184890309445,178,0,0.0
89,93.34936879999987,6352897.0,6498029.0345197655,0.9776652222160328,177,0,0.0
88,93.87402939999993,6307284.0,6496728.209964712,0.9708400592048562,170,0,0.0
87,94.39340059999995,6260451.0,6495440.499757109,0.9638223920662661,172,0,0.0
86,94.9189312999988,6194576.0,6494137.517907524,0.9538720088569905,168,0,0.0
85,95.44597859999885,6134022.0,6492830.775854634,0.9447376978945821,166,0,0.0
84,95.97130049999942,6054876.0,6491528.311696228,0.9327350524052277,162,0,0.0
83,96.50248659999852,5988627.0,6490211.308052002,0.9227167985378661,163,0,0.0
82,97.02253810000002,5901603.0,6488921.911133129,0.9094889845837938,160,0,0.0
81,97.5432953999989,5812097.0,6487630.764279217,0.8958735802292118,156,0,0.0
80,98.06696779999947,5719782.0,6486332.389831576,0.881820674032482,152,0,0.0
79,99.1116280999995,5618251.0,6483404.613053784,0.8665587504269175,146,0,0.0
78,99.63593419999961,5515161.0,6481766.660651916,0.8508731166581832,145,0,0.0
77,100.16418309999972,5405341.0,6480116.390791352,0.834142579241528,141,0,0.0
76,100.68797590000031,5294519.0,6478480.041958405,0.8172470958789123,139,0,0.0
75,101.21074969999972,5175088.0,6476846.876520615,0.7990134858306355,133,0,0.0
74,101.73955810000007,5044438.0,6475194.858760553,0.7790403393305108,132,0,0.0
73,102.27096489999894,4919617.0,6473534.723499058,0.7599583859713758,126,0,0.0
72,102.79414739999993,4788007.0,6471900.281266759,0.7398147054056329,123,0,0.0
71,103.31931059999988,4645066.0,6470259.651251559,0.7179102926884074,120,0,0.0
70,103.84502169999905,4510951.0,6468617.309575709,0.697359386730498,115,0,0.0
69,104.35912699999972,4355263.0,6467011.224864985,0.6734583950085732,111,0,0.0
68,104.88250539999899,4217153.0,6465376.170633565,0.6522672291141796,105,0,0.0
67,105.40531039999951,4061031.0,6463742.907725772,0.6282785466522908,102,0,0.0
66,105.92893980000008,3904487.0,6462107.069360703,0.6042126752298258,96,0,0.0
65,106.4541664999997,3751865.0,6460466.240969064,0.5807421415203037,94,0,0.0
64,106.97982619999857,3596018.0,6458824.05986879,0.556760482506943,89,0,0.0
63,108.02858599999854,3439133.0,6455591.677043016,0.5327370707521724,84,0,0.0
62,108.54764789999899,3267950.0,6454013.641483938,0.5063438321535089,79,0,0.0
61,109.0724842999989,3113798.0,6452418.050472736,0.4825784652579768,76,0,0.0
60,109.59451959999933,2949486.0,6450830.975277092,0.45722574522630494,73,0,0.0
59,110.1187246999998,2789247.0,6449237.303524166,0.4324925365168102,69,0,0.0
58,110.64462819999972,2634063.0,6447638.46834932,0.40853143564582567,67,0,0.0
57,111.17038299999876,2469123.0,6446040.085247509,0.3830449341528091,62,0,0.0
56,111.69646779999857,2313938.0,6444440.698890142,0.35905955351540514,60,0,0.0
55,112.2194485,2152414.0,6442850.749519339,0.3340778924858035,55,0,0.0
54,112.73551459999908,1997926.0,6441281.821696602,0.3101752190488315,51,0,0.0
53,113.26124119999986,1854244.0,6439683.524327534,0.2879402369689635,49,0,0.0
52,113.78557649999857,1699438.0,6438089.456744694,0.26396619857768966,47,0,0.0
51,114.30698800000027,1558213.0,6436504.278006062,0.24208995018064564,43,0,0.0
50,114.82772709999881,1420691.0,6434921.143476637,0.2207783076627469,40,0,0.0
49,115.34576000000015,1278609.0,6433346.236250786,0.19874711433923156,36,0,0.0
48,115.87153679999938,1157684.0,6431747.786265272,0.17999524211322243,34,0,0.0
47,116.91176809999888,1027635.0,6428367.037332396,0.1598594159344146,31,0,0.0
46,117.43651669999963,910790.0,6426551.97815811,0.14172296483331925,28,0,0.0
45,117.96018989999902,798093.0,6424740.638697679,0.12422182386521624,26,0,0.0
44,118.48531459999867,689175.0,6422924.278626633,0.10729925655411296,22,0,0.0
43,119.01159980000011,593379.0,6421103.904488327,0.09241074569518029,20,0,0.0
42,119.53531309999926,499738.0,6419292.426325531,0.07784939005903103,19,0,0.0
41,120.05619060000026,418164.0,6417490.756945079,0.06516004710212606,16,0,0.0
40,120.57977149999897,346406.0,6415679.736742219,0.05399365526557588,14,0,0.0
39,121.10449879999942,278989.0,6413864.751242757,0.04349779903699136,12,0,0.0
38,121.62762789999942,222758.0,6412055.293776287,0.03474049891868757,11,0,0.0
37,122.15416929999992,173412.0,6410234.033464757,0.027052366433846117,9,0,0.0
36,122.67694289999963,134728.0,6408425.805641466,0.02102357179221709,8,0,0.0
35,123.20046879999973,104419.0,6406614.975678755,0.016298622657425613,6,0,0.0
34,123.72686479999902,80456.0,6404794.218293019,0.012561839968285948,5,0,0.0
33,124.25645889999942,66940.0,6402962.398961147,0.010454535858411525,4,0,0.0
32,124.78319670000019,58936.0,6401140.45931932,0.009207109322870116,3,0,0.0
31,125.84588019999865,59388.0,6397450.651441322,0.009283072779407858,3,0,0.0
30,126.3682461999997,68373.0,6395629.964898687,0.010690580970952577,4,0,0.0
29,126.89802719999898,88826.0,6393783.433659593,0.013892556875226988,6,0,0.0
28,127.42215639999995,115865.0,6391956.601551374,0.01812668752661411,7,0,0.0
27,127.94798329999867,152480.0,6390123.852175302,0.023861822325727432,9,0,0.0
26,128.47018559999924,195935.0,6388303.736202704,0.03067089607678336,11,0,0.0
25,129.00099500000033,243407.0,6386453.620515075,0.038113014587330386,13,0,0.0
24,129.52741959999912,300819.0,6384618.787878709,0.04711620380078278,15,0,0.0
